,Accuracy,Algorithem,Precision,Recall,Specificty,_TestFold,_ValFold
0,0.7412587412587412,SVM(linear),0.7307692307692307,0.6229508196721312,0.8292682926829268,0.0,0.0
1,0.7132867132867133,LinearSVC,0.75,0.4918032786885246,0.8780487804878049,0.0,0.0
2,0.5734265734265734,SVM(RBF),1.0,0.0,1.0,0.0,0.0
3,0.7202797202797203,"SVM(poly, degree=2)",0.7441860465116279,0.5245901639344263,0.8658536585365854,0.0,0.0
4,0.5734265734265734,SVM(sigmoid),1.0,0.0,1.0,0.0,0.0
5,0.8041958041958042,SVM(linear),0.84,0.6774193548387096,0.9012345679012346,0.0,1.0
6,0.7342657342657343,LinearSVC,0.875,0.45161290322580644,0.9506172839506173,0.0,1.0
7,0.5664335664335665,SVM(RBF),1.0,0.0,1.0,0.0,1.0
8,0.7272727272727273,"SVM(poly, degree=2)",0.676923076923077,0.7096774193548387,0.7407407407407407,0.0,1.0
9,0.5664335664335665,SVM(sigmoid),1.0,0.0,1.0,0.0,1.0
10,0.8098591549295775,SVM(linear),0.8461538461538461,0.6111111111111112,0.9318181818181818,0.0,2.0
11,0.5,LinearSVC,0.4260869565217391,0.9074074074074074,0.25,0.0,2.0
12,0.6197183098591549,SVM(RBF),1.0,0.0,1.0,0.0,2.0
13,0.7535211267605634,"SVM(poly, degree=2)",0.7111111111111111,0.5925925925925926,0.8522727272727273,0.0,2.0
14,0.6197183098591549,SVM(sigmoid),1.0,0.0,1.0,0.0,2.0
15,0.8380281690140845,SVM(linear),0.7916666666666666,0.7450980392156863,0.8901098901098901,0.0,3.0
16,0.7887323943661971,LinearSVC,0.7560975609756098,0.6078431372549019,0.8901098901098901,0.0,3.0
17,0.6408450704225352,SVM(RBF),1.0,0.0,1.0,0.0,3.0
18,0.7253521126760564,"SVM(poly, degree=2)",0.6363636363636364,0.5490196078431373,0.8241758241758241,0.0,3.0
19,0.6408450704225352,SVM(sigmoid),1.0,0.0,1.0,0.0,3.0
20,0.7887323943661971,SVM(linear),0.6875,0.6875,0.8404255319148937,0.0,4.0
21,0.7676056338028169,LinearSVC,0.6470588235294118,0.6875,0.8085106382978723,0.0,4.0
22,0.6619718309859155,SVM(RBF),1.0,0.0,1.0,0.0,4.0
23,0.7816901408450704,"SVM(poly, degree=2)",0.6888888888888889,0.6458333333333334,0.851063829787234,0.0,4.0
24,0.6619718309859155,SVM(sigmoid),1.0,0.0,1.0,0.0,4.0
25,0.8111888111888111,SVM(linear),0.7192982456140351,0.7884615384615384,0.8241758241758241,1.0,0.0
26,0.3916083916083916,LinearSVC,0.3722627737226277,0.9807692307692307,0.054945054945054944,1.0,0.0
27,0.6363636363636364,SVM(RBF),1.0,0.0,1.0,1.0,0.0
28,0.8181818181818182,"SVM(poly, degree=2)",0.7407407407407407,0.7692307692307693,0.8461538461538461,1.0,0.0
29,0.6363636363636364,SVM(sigmoid),1.0,0.0,1.0,1.0,0.0
30,0.7832167832167832,SVM(linear),0.78,0.6610169491525424,0.8690476190476191,1.0,1.0
31,0.6503496503496503,LinearSVC,0.8,0.2033898305084746,0.9642857142857143,1.0,1.0
32,0.5874125874125874,SVM(RBF),1.0,0.0,1.0,1.0,1.0
33,0.7342657342657343,"SVM(poly, degree=2)",0.6779661016949152,0.6779661016949152,0.7738095238095238,1.0,1.0
34,0.5874125874125874,SVM(sigmoid),1.0,0.0,1.0,1.0,1.0
35,0.8028169014084507,SVM(linear),0.8095238095238095,0.6296296296296297,0.9090909090909091,1.0,2.0
36,0.7746478873239436,LinearSVC,0.8928571428571429,0.46296296296296297,0.9659090909090909,1.0,2.0
37,0.6197183098591549,SVM(RBF),1.0,0.0,1.0,1.0,2.0
38,0.7394366197183099,"SVM(poly, degree=2)",0.6976744186046512,0.5555555555555556,0.8522727272727273,1.0,2.0
39,0.6197183098591549,SVM(sigmoid),1.0,0.0,1.0,1.0,2.0
40,0.8380281690140845,SVM(linear),0.7916666666666666,0.7450980392156863,0.8901098901098901,1.0,3.0
41,0.7676056338028169,LinearSVC,0.8,0.47058823529411764,0.9340659340659341,1.0,3.0
42,0.6408450704225352,SVM(RBF),1.0,0.0,1.0,1.0,3.0
43,0.7605633802816901,"SVM(poly, degree=2)",0.6976744186046512,0.5882352941176471,0.8571428571428571,1.0,3.0
44,0.6408450704225352,SVM(sigmoid),1.0,0.0,1.0,1.0,3.0
45,0.7816901408450704,SVM(linear),0.673469387755102,0.6875,0.8297872340425532,1.0,4.0
46,0.795774647887324,LinearSVC,0.7021276595744681,0.6875,0.851063829787234,1.0,4.0
47,0.6619718309859155,SVM(RBF),1.0,0.0,1.0,1.0,4.0
48,0.7464788732394366,"SVM(poly, degree=2)",0.6153846153846154,0.6666666666666666,0.7872340425531915,1.0,4.0
49,0.6619718309859155,SVM(sigmoid),1.0,0.0,1.0,1.0,4.0
50,0.8181818181818182,SVM(linear),0.7321428571428571,0.7884615384615384,0.8351648351648352,2.0,0.0
51,0.7342657342657343,LinearSVC,0.6521739130434783,0.5769230769230769,0.8241758241758241,2.0,0.0
52,0.6363636363636364,SVM(RBF),1.0,0.0,1.0,2.0,0.0
53,0.7552447552447552,"SVM(poly, degree=2)",0.7297297297297297,0.5192307692307693,0.8901098901098901,2.0,0.0
54,0.6363636363636364,SVM(sigmoid),1.0,0.0,1.0,2.0,0.0
55,0.7342657342657343,SVM(linear),0.7543859649122807,0.6417910447761194,0.8157894736842105,2.0,1.0
56,0.7062937062937062,LinearSVC,0.7906976744186046,0.5074626865671642,0.881578947368421,2.0,1.0
