,FolD#,Optimal hyperparameter/Model,Test Accuracy,Validation accuracy
0,0.0,SVM(linear),0.8089887640449438,0.7964148527528809
1,1.0,SVM(linear),0.7359550561797753,0.8033881611346401
2,2.0,SVM(linear),0.8033707865168539,0.7851373978134542
3,3.0,SVM(linear),0.797752808988764,0.7893627499261301
4,4.0,SVM(linear),0.8033707865168539,0.7893529006205062
