,Accuracy,Algorithem,Precision,Recall,Specificty,_TestFold
0,0.8089887640449438,SVM(linear),0.7424242424242424,0.7424242424242424,0.8482142857142857,0.0
1,0.7415730337078652,LinearSVC,0.7777777777777778,0.42424242424242425,0.9285714285714286,0.0
2,0.6292134831460674,SVM(RBF),1.0,0.0,1.0,0.0
3,0.6292134831460674,SVM(sigmoid),1.0,0.0,1.0,0.0
4,0.7359550561797753,SVM(linear),0.7313432835820896,0.6282051282051282,0.82,1.0
5,0.6797752808988764,LinearSVC,0.7692307692307693,0.38461538461538464,0.91,1.0
6,0.5617977528089888,SVM(RBF),1.0,0.0,1.0,1.0
7,0.5617977528089888,SVM(sigmoid),1.0,0.0,1.0,1.0
8,0.8033707865168539,SVM(linear),0.7931034482758621,0.6666666666666666,0.8899082568807339,2.0
9,0.5617977528089888,LinearSVC,0.4676258992805755,0.9420289855072463,0.3211009174311927,2.0
10,0.6123595505617978,SVM(RBF),1.0,0.0,1.0,2.0
11,0.6123595505617978,SVM(sigmoid),1.0,0.0,1.0,2.0
12,0.797752808988764,SVM(linear),0.8245614035087719,0.6438356164383562,0.9047619047619048,3.0
13,0.8089887640449438,LinearSVC,0.8305084745762712,0.6712328767123288,0.9047619047619048,3.0
14,0.5955056179775281,SVM(RBF),1.0,0.0136986301369863,1.0,3.0
15,0.5898876404494382,SVM(sigmoid),1.0,0.0,1.0,3.0
16,0.8033707865168539,SVM(linear),0.6721311475409836,0.7321428571428571,0.8360655737704918,4.0
17,0.7191011235955056,LinearSVC,0.6666666666666666,0.21428571428571427,0.9508196721311475,4.0
18,0.6853932584269663,SVM(RBF),1.0,0.0,1.0,4.0
19,0.6853932584269663,SVM(sigmoid),1.0,0.0,1.0,4.0
