,Accuracy,Algorithem,Precision,Recall,Specificty,_TestFold,_ValFold
0,0.7412587412587412,SVM(linear),0.7307692307692307,0.6229508196721312,0.8292682926829268,0.0,0.0
1,0.7342657342657343,LinearSVC,0.7346938775510204,0.5901639344262295,0.8414634146341463,0.0,0.0
2,0.5734265734265734,SVM(RBF),1.0,0.0,1.0,0.0,0.0
3,0.5734265734265734,SVM(sigmoid),1.0,0.0,1.0,0.0,0.0
4,0.8041958041958042,SVM(linear),0.84,0.6774193548387096,0.9012345679012346,0.0,1.0
5,0.5454545454545454,LinearSVC,0.48695652173913045,0.9032258064516129,0.2716049382716049,0.0,1.0
6,0.5664335664335665,SVM(RBF),1.0,0.0,1.0,0.0,1.0
7,0.5664335664335665,SVM(sigmoid),1.0,0.0,1.0,0.0,1.0
8,0.8098591549295775,SVM(linear),0.8461538461538461,0.6111111111111112,0.9318181818181818,0.0,2.0
9,0.44366197183098594,LinearSVC,0.4015748031496063,0.9444444444444444,0.13636363636363635,0.0,2.0
10,0.6197183098591549,SVM(RBF),1.0,0.0,1.0,0.0,2.0
11,0.6197183098591549,SVM(sigmoid),1.0,0.0,1.0,0.0,2.0
12,0.8380281690140845,SVM(linear),0.7916666666666666,0.7450980392156863,0.8901098901098901,0.0,3.0
13,0.4154929577464789,LinearSVC,0.3805970149253731,1.0,0.08791208791208792,0.0,3.0
14,0.6408450704225352,SVM(RBF),1.0,0.0,1.0,0.0,3.0
15,0.6408450704225352,SVM(sigmoid),1.0,0.0,1.0,0.0,3.0
16,0.7887323943661971,SVM(linear),0.6875,0.6875,0.8404255319148937,0.0,4.0
17,0.6830985915492958,LinearSVC,0.5185185185185185,0.875,0.5851063829787234,0.0,4.0
18,0.6619718309859155,SVM(RBF),1.0,0.0,1.0,0.0,4.0
19,0.6619718309859155,SVM(sigmoid),1.0,0.0,1.0,0.0,4.0
20,0.8111888111888111,SVM(linear),0.7192982456140351,0.7884615384615384,0.8241758241758241,1.0,0.0
21,0.7552447552447552,LinearSVC,0.717948717948718,0.5384615384615384,0.8791208791208791,1.0,0.0
22,0.6363636363636364,SVM(RBF),1.0,0.0,1.0,1.0,0.0
23,0.6363636363636364,SVM(sigmoid),1.0,0.0,1.0,1.0,0.0
24,0.7832167832167832,SVM(linear),0.78,0.6610169491525424,0.8690476190476191,1.0,1.0
25,0.42657342657342656,LinearSVC,0.41843971631205673,1.0,0.023809523809523808,1.0,1.0
26,0.5874125874125874,SVM(RBF),1.0,0.0,1.0,1.0,1.0
27,0.5874125874125874,SVM(sigmoid),1.0,0.0,1.0,1.0,1.0
28,0.8028169014084507,SVM(linear),0.8095238095238095,0.6296296296296297,0.9090909090909091,1.0,2.0
29,0.7676056338028169,LinearSVC,0.8,0.5185185185185185,0.9204545454545454,1.0,2.0
30,0.6197183098591549,SVM(RBF),1.0,0.0,1.0,1.0,2.0
31,0.6197183098591549,SVM(sigmoid),1.0,0.0,1.0,1.0,2.0
32,0.8380281690140845,SVM(linear),0.7916666666666666,0.7450980392156863,0.8901098901098901,1.0,3.0
33,0.4788732394366197,LinearSVC,0.408,1.0,0.18681318681318682,1.0,3.0
34,0.6408450704225352,SVM(RBF),1.0,0.0,1.0,1.0,3.0
35,0.6408450704225352,SVM(sigmoid),1.0,0.0,1.0,1.0,3.0
36,0.7816901408450704,SVM(linear),0.673469387755102,0.6875,0.8297872340425532,1.0,4.0
37,0.795774647887324,LinearSVC,0.7021276595744681,0.6875,0.851063829787234,1.0,4.0
38,0.6619718309859155,SVM(RBF),1.0,0.0,1.0,1.0,4.0
39,0.6619718309859155,SVM(sigmoid),1.0,0.0,1.0,1.0,4.0
40,0.8181818181818182,SVM(linear),0.7321428571428571,0.7884615384615384,0.8351648351648352,2.0,0.0
41,0.7552447552447552,LinearSVC,0.6268656716417911,0.8076923076923077,0.7252747252747253,2.0,0.0
42,0.6363636363636364,SVM(RBF),1.0,0.0,1.0,2.0,0.0
43,0.6363636363636364,SVM(sigmoid),1.0,0.0,1.0,2.0,0.0
44,0.7342657342657343,SVM(linear),0.7543859649122807,0.6417910447761194,0.8157894736842105,2.0,1.0
45,0.7412587412587412,LinearSVC,0.7777777777777778,0.6268656716417911,0.8421052631578947,2.0,1.0
46,0.5314685314685315,SVM(RBF),1.0,0.0,1.0,2.0,1.0
47,0.5314685314685315,SVM(sigmoid),1.0,0.0,1.0,2.0,1.0
48,0.7605633802816901,SVM(linear),0.7441860465116279,0.5818181818181818,0.8735632183908046,2.0,2.0
49,0.6971830985915493,LinearSVC,0.575,0.8363636363636363,0.6091954022988506,2.0,2.0
50,0.6126760563380281,SVM(RBF),1.0,0.0,1.0,2.0,2.0
51,0.6126760563380281,SVM(sigmoid),1.0,0.0,1.0,2.0,2.0
52,0.8309859154929577,SVM(linear),0.7755102040816326,0.7450980392156863,0.8791208791208791,2.0,3.0
53,0.6971830985915493,LinearSVC,0.75,0.23529411764705882,0.9560439560439561,2.0,3.0
54,0.6408450704225352,SVM(RBF),1.0,0.0,1.0,2.0,3.0
55,0.6408450704225352,SVM(sigmoid),1.0,0.0,1.0,2.0,3.0
56,0.7816901408450704,SVM(linear),0.673469387755102,0.6875,0.8297872340425532,2.0,4.0
57,0.4788732394366197,LinearSVC,0.38392857142857145,0.8958333333333334,0.26595744680851063,2.0,4.0
58,0.6619718309859155,SVM(RBF),1.0,0.0,1.0,2.0,4.0
59,0.6619718309859155,SVM(sigmoid),1.0,0.0,1.0,2.0,4.0
