,Accuracy,Algorithem,Precision,Recall,Specificty,_TestFold,_ValFold
0,0.7412587412587412,SVM_linear,0.7307692307692307,0.6229508196721312,0.8292682926829268,0.0,0.0
1,0.7342657342657343,LinearSVC,0.7804878048780488,0.5245901639344263,0.8902439024390244,0.0,0.0
2,0.8041958041958042,SVM_linear,0.84,0.6774193548387096,0.9012345679012346,0.0,1.0
3,0.7202797202797203,LinearSVC,0.8055555555555556,0.46774193548387094,0.9135802469135802,0.0,1.0
4,0.8098591549295775,SVM_linear,0.8461538461538461,0.6111111111111112,0.9318181818181818,0.0,2.0
5,0.7183098591549296,LinearSVC,0.6842105263157895,0.48148148148148145,0.8636363636363636,0.0,2.0
6,0.8380281690140845,SVM_linear,0.7916666666666666,0.7450980392156863,0.8901098901098901,0.0,3.0
7,0.6056338028169014,LinearSVC,0.47474747474747475,0.9215686274509803,0.42857142857142855,0.0,3.0
8,0.7887323943661971,SVM_linear,0.6875,0.6875,0.8404255319148937,0.0,4.0
9,0.7676056338028169,LinearSVC,0.6415094339622641,0.7083333333333334,0.7978723404255319,0.0,4.0
10,0.8111888111888111,SVM_linear,0.7192982456140351,0.7884615384615384,0.8241758241758241,1.0,0.0
11,0.7692307692307693,LinearSVC,0.6461538461538462,0.8076923076923077,0.7472527472527473,1.0,0.0
12,0.7832167832167832,SVM_linear,0.78,0.6610169491525424,0.8690476190476191,1.0,1.0
13,0.7412587412587412,LinearSVC,0.8928571428571429,0.423728813559322,0.9642857142857143,1.0,1.0
14,0.8028169014084507,SVM_linear,0.8095238095238095,0.6296296296296297,0.9090909090909091,1.0,2.0
15,0.4154929577464789,LinearSVC,0.3925925925925926,0.9814814814814815,0.06818181818181818,1.0,2.0
16,0.8380281690140845,SVM_linear,0.7916666666666666,0.7450980392156863,0.8901098901098901,1.0,3.0
17,0.7112676056338029,LinearSVC,0.7083333333333334,0.3333333333333333,0.9230769230769231,1.0,3.0
18,0.7816901408450704,SVM_linear,0.673469387755102,0.6875,0.8297872340425532,1.0,4.0
19,0.4295774647887324,LinearSVC,0.368,0.9583333333333334,0.1595744680851064,1.0,4.0
20,0.8181818181818182,SVM_linear,0.7321428571428571,0.7884615384615384,0.8351648351648352,2.0,0.0
21,0.7622377622377622,LinearSVC,0.7368421052631579,0.5384615384615384,0.8901098901098901,2.0,0.0
22,0.7342657342657343,SVM_linear,0.7543859649122807,0.6417910447761194,0.8157894736842105,2.0,1.0
23,0.4965034965034965,LinearSVC,0.48201438848920863,1.0,0.05263157894736842,2.0,1.0
24,0.7605633802816901,SVM_linear,0.7441860465116279,0.5818181818181818,0.8735632183908046,2.0,2.0
25,0.676056338028169,LinearSVC,0.8,0.21818181818181817,0.9655172413793104,2.0,2.0
26,0.8309859154929577,SVM_linear,0.7755102040816326,0.7450980392156863,0.8791208791208791,2.0,3.0
27,0.5985915492957746,LinearSVC,0.47058823529411764,0.9411764705882353,0.4065934065934066,2.0,3.0
28,0.7816901408450704,SVM_linear,0.673469387755102,0.6875,0.8297872340425532,2.0,4.0
29,0.7605633802816901,LinearSVC,0.64,0.6666666666666666,0.8085106382978723,2.0,4.0
30,0.8181818181818182,SVM_linear,0.7407407407407407,0.7692307692307693,0.8461538461538461,3.0,0.0
31,0.38461538461538464,LinearSVC,0.3695652173913043,0.9807692307692307,0.04395604395604396,3.0,0.0
32,0.7342657342657343,SVM_linear,0.7543859649122807,0.6417910447761194,0.8157894736842105,3.0,1.0
33,0.7062937062937062,LinearSVC,0.7551020408163265,0.5522388059701493,0.8421052631578947,3.0,1.0
34,0.7605633802816901,SVM_linear,0.7142857142857143,0.6363636363636364,0.8390804597701149,3.0,2.0
35,0.6267605633802817,LinearSVC,0.625,0.09090909090909091,0.9655172413793104,3.0,2.0
36,0.8450704225352113,SVM_linear,0.8048780487804879,0.7021276595744681,0.9157894736842105,3.0,3.0
37,0.4154929577464789,LinearSVC,0.359375,0.9787234042553191,0.1368421052631579,3.0,3.0
38,0.7887323943661971,SVM_linear,0.6875,0.6875,0.8404255319148937,3.0,4.0
39,0.704225352112676,LinearSVC,1.0,0.125,1.0,3.0,4.0
40,0.8251748251748252,SVM_linear,0.7454545454545455,0.7884615384615384,0.8461538461538461,4.0,0.0
41,0.7972027972027972,LinearSVC,0.6885245901639344,0.8076923076923077,0.7912087912087912,4.0,0.0
42,0.7342657342657343,SVM_linear,0.7543859649122807,0.6417910447761194,0.8157894736842105,4.0,1.0
43,0.6853146853146853,LinearSVC,0.72,0.5373134328358209,0.8157894736842105,4.0,1.0
44,0.7746478873239436,SVM_linear,0.7346938775510204,0.6545454545454545,0.8505747126436781,4.0,2.0
45,0.5211267605633803,LinearSVC,0.44144144144144143,0.8909090909090909,0.28735632183908044,4.0,2.0
46,0.8098591549295775,SVM_linear,0.8333333333333334,0.6363636363636364,0.9195402298850575,4.0,3.0
47,0.795774647887324,LinearSVC,0.825,0.6,0.9195402298850575,4.0,3.0
48,0.8028169014084507,SVM_linear,0.8085106382978723,0.6666666666666666,0.8941176470588236,4.0,4.0
49,0.7394366197183099,LinearSVC,0.8846153846153846,0.40350877192982454,0.9647058823529412,4.0,4.0
